Sentence,Intent
"Sounds great, Im ready.",SELECT
I want to find a movie to watch at AMC Saratoga.,INFORM
Search for 3d movies in San Jose.,INFORM
Missing link would be great. When is it showing?,INFORM_INTENT
Thanks! That's all I need!,SELECT
I wish to search for a movie.,INFORM_INTENT
Please find movies in Union City.,INFORM
Could you find some other movies? I prefer Adventure movies.,INFORM
Shazam! is great. Which time shall I see it?,INFORM_INTENT
I wish to see it on March 4th.,INFORM
What is the cost of the ticket? Where it is located?,REQUEST
It is great. It is what I want.,SELECT
Are there any good movies showing in Pleasant Hill?,INFORM
Little sounds like a good movie.,SELECT
Is there a time I can watch it?,INFORM_INTENT
I would like to see it on March 2nd in a 3d showing.,INFORM
Thats perfect.,SELECT
"No, thats it. Thanks.",NEGATE
I feel like going to the movies. I'd like to go see a 3d movie at Guild Theatre.,INFORM
Can you look for films which are playing in Menlo Park?,INFORM
Red Joan sounds great. What time is it playing on March 9th?,INFORM
That's perfect. Thanks for your help.,SELECT
I really want to watch a movie.,INFORM_INTENT
Search for movies playing right now in Napa.,INFORM
"Yes, I want to see Captain Marvel. What time is it playing?",INFORM_INTENT
Let's go with Sunday this week.,INFORM
"Thanks. How much does the ticket cost? Also, what kind of movie is it again?",REQUEST
"Sounds good, that's perfect. Thanks for helping.",SELECT
"Find me a movie to watch,please!",INFORM_INTENT
Comedy movies are my favorites.Search for me movies shown in SF .I would love to watch a imax show.,INFORM
I want to watch at Century San Francisco Centre the movie Missing Link .At what time can it be?,INFORM
I would like to be on 1st of this month.,INFORM
What is the cost of the ticket and what is the address?,REQUEST
"Sounds perfect,that's what I needed now.",SELECT
I would like to see a movie in Santa Rosa.,INFORM
"Dumbo would be great, what are the playing times on March 1st at any theater.",INFORM
That sounds perfect.,SELECT
Not at this time. Thanks.,NEGATE_INTENT
I'm looking for movies in Santa Clara.,INFORM
Are there any other movies?,REQUEST_ALTS
I'd like to see Little.,SELECT
Not right now.,NEGATE_INTENT
What time is the movie showing at AMC Mercado?,INFORM
Wednesday next week.,INFORM
"That's all, thank you.",NEGATE
I'm interested in watching a movie soon.,INFORM_INTENT
"I am in Oakland, so can you find me any nearby movies?",INFORM
"I am interested in seeing something else, preferably at the Regal Jack London.",INFORM
"The Best of Enemies sounds good to watch, can you tell me 3d showtimes for Saturday this week?",INFORM
"How much will the ticket cost, and where is the theater located?",REQUEST
"Alright, thanks for that, that will be all.",SELECT
I'd like to watch a movie at THE LOT City Center.,INFORM
Look for movies plating San Ramon.,INFORM
Captain Marvel sounds good.,SELECT
Not right now. What time is the movie?,INFORM_INTENT
I'm looking forward to seeing it on the 1st.,INFORM
Where's the theater at and how much are tickets?,REQUEST
Awesome. That about does it.,SELECT
I'm looking for a movie to watch.,INFORM_INTENT
Can you find movies in Albany?,INFORM
Red Joan would be great.,SELECT
"Not right now, thank you. What times can I see it?",INFORM_INTENT
Next Tuesday please.,INFORM
What type of movie is it? And what's the theater's address?,REQUEST
"That sounds perfect, I'm all set.",SELECT
"I would like to go to an Imax movie, can you find me a Comedy to watch?",INFORM
I'm located in Oakland.,INFORM
"Gloria Bell would be good - I'd like to see it on the 9th of this month, what time does it start at?",INFORM
What is the theater's address and how much is a ticket?,REQUEST
I want to find a movie to watch at Century Walnut Creek.,INFORM
Can you search for movies shown in Walnut Creek? I'd like to watch a regular show.,INFORM
I'd like to watch Captain Marvel.,SELECT
"No, not now. What are the viewing times and dates? I want to watch it on March 2nd.",INFORM
I would like to watch a movie in Morgan Hill.,INFORM
Please find some more options.,REQUEST_ALTS
Pet Sematary sounds great. When is it showing?,INFORM_INTENT
I would like to watch it on the 1st of March.,INFORM
How much is it?,REQUEST
Where's the theater?,REQUEST
Sounds great to me.,SELECT
"No, I don't want them now.",NEGATE_INTENT
"Nope, thanks so much!",NEGATE
"I want to go out to watch a movie, please help me find a good one.",INFORM_INTENT
I'm in Santa Rosa. I'm in the mood for a fantasy movie.,INFORM
"I want to watch Hellboy, what time is it showing?",INFORM_INTENT
"I want to go on 6th of March, to a regular show at 3rd Street cinema.",INFORM
For how much? What's the address?,REQUEST
"No, not yet.",NEGATE_INTENT
"No thanks, that's all for now.",NEGATE
I'm in San Francisco. What's available?,INFORM
"No, I want something else please. Any theater will do.",INFORM
Please find something else. I'm interested in drama movies. Are there any regular showings available?,INFORM
Suburban Birds will be good.,SELECT
"No, thanks. What time can I see that movie?",INFORM_INTENT
I am looking for showtimes on the 17th.,INFORM
That sounds good. Thanks.,SELECT
I want to see a movie in San Bruno. What's available?,INFORM
"No, what else is there? I want to see a regular show.",INFORM
Shazam is perfect.,SELECT
"No, I will do it later.",NEGATE_INTENT
What time is it? I want to go to Century at Tanforan.,INFORM
I'd like to go on the 1st.,INFORM
"Perfect, that's all.",SELECT
I want to watch a movie in SF,INFORM
I want Horror movies,INFORM
the curse of la llorona sound good. what time do they have it available,INFORM_INTENT
I am available to watch on 7th of this month,INFORM
ok thats all i need,SELECT
I need to find a movie to watch.,INFORM_INTENT
Can you search movies in San Ramon.,INFORM
I would like Scary movies. I would like to watch THE LOT City Center.,INFORM
"Can you find some other movies, I like all kinds.",INFORM
I would like to see Little. I would like to watch it on March 1st.,INFORM
Does the movie play any other time?,REQUEST_ALTS
"No, that will do it. Thank you for your help.",NEGATE
"I like Biographical movies, can you search for movies shown in Vallejo? I want to watch a 3d show.",INFORM
What time can I see it? Breakthrough seems perfect.,INFORM_INTENT
Monday next week would be superb. I'd prefer to see it at Century Vallejo,INFORM
That is perfect for me.,SELECT
I am bored and would like to see a movie.,INFORM_INTENT
What's showing in San Jose?,INFORM
I would rather see Breakthrough.,SELECT
Not yet.,NEGATE_INTENT
What time is it showing at CineLux Almaden?,INFORM
I am available on the 3rd.,INFORM
That seems awesome.,SELECT
"No, that would be all. Thanks.",NEGATE
I would like to go to a movie in San Ramon. Can you tell me what movies are playing?,INFORM
Breakthrough is perfect. What day and time is it showing?,INFORM_INTENT
The 9th is the date I am looking to watch it.,INFORM
Is the movie playing at another time?,REQUEST_ALTS
What is the address of The Lot City Center?,REQUEST
Can you do a search for me? I'm looking for 3d movies in San Jose.,INFORM
What time is How to Train Your Dragon: The Hidden World playing at?,INFORM_INTENT
"That sounds great, that's all I need for now.",SELECT
"I'd like to watch a movie, can you find a showing for me?",INFORM_INTENT
"I'm in San Ramon, please find a movie there.",INFORM
Breakthrough sounds great.,SELECT
"No, I don't need tickets right away. What time is their imax showing?",INFORM
Please check the 9th of this month.,INFORM
Where's that theater?,REQUEST
"Oh great, thanks a lot. That's all.",SELECT
Look for a movie for me to watch.,INFORM_INTENT
Find me movies in Union City.,INFORM
Captain Marvel sounds great. At what time could I watch it?,INFORM_INTENT
I'd like to watch it on the 7th of March.,INFORM
"No, I do not want to buy them right now.",NEGATE_INTENT
"No, thanks.",NEGATE
I'd like to see an imax show at Century at Pacific Commons. I want to watch it.,INFORM
Can you check for a movie in Fremont?,INFORM
Check for other movies.,REQUEST_ALTS
Lets do Shazam.,SELECT
When can I see it on the 8th of March?,INFORM
Where is it? What genre?,REQUEST
"Great, i like that",SELECT
No thank you,NEGATE
Please look for movies in SFO.,INFORM
Please find other options.,REQUEST_ALTS
Please find some other options in imax.,INFORM
Hotel Mumbai is perfect.,SELECT
"No,not yet.",NEGATE_INTENT
What time is the showtimes on March 1st?,INFORM
I am meeting a friend later and we are planning to watch a movie. Can you find movies nearby?,INFORM_INTENT
Can you find all movies in Pleasant Hill?,INFORM
I would like to watch Hotel Mumbai. What time is it playing?,INFORM_INTENT
"On the 2nd of this month, I want to watch a 3d movie. Can you tell me what 3d movies are playing near me?",INFORM
Thank you for the information.,SELECT
No. I just needed information about the movie.,NEGATE_INTENT
"Hey, they got any Fantasy movies playing at THE LOT City Center?",INFORM
Look in San Ramon.,INFORM
Lets go with Hellboy.,SELECT
No. Don't do that. What time is the movie.,INFORM_INTENT
The 1st of this month. Look for the 3d version.,INFORM
What's the damage? And where is the theater?,REQUEST
Sounds like a plan. I'm good for now.,SELECT
I want to watch movie. Any kind of movie works for me.,INFORM
Can you find movies playing in Martinez.,INFORM
What else is playing?,REQUEST_ALTS
Missing Link is great! What time I see it? I want to see it on the 1st of March at Contra Costa.,INFORM
What is the address?,REQUEST
What kind of film is it? How much does it cost?,REQUEST
Sounds excellent. That is all I wanted?,SELECT
I would like to search for a movie to watch.,INFORM_INTENT
Can you find me movies shown in Emeryville,INFORM
Please find some more movies. I would like to watch at AMC Bay Street for a 3d show.,INFORM
Pet Sematary is so good. What time can I watch it? My preferred date is March 8th.,INFORM
Is there any other time the movie is playing?,REQUEST_ALTS
Could you try once? I wanna watch it on Saturday this week.,INFORM
Sounds great. Thats all I need.,SELECT
Find me a regular movie to watch.,INFORM
I am in Concord.,INFORM
Dumbo works for me.,SELECT
"No, not right now. What time is it playing?",INFORM_INTENT
I want to see it on March 1st.,INFORM
What is their address and what is the price of a ticket?,REQUEST
That is great.,SELECT
"No, that is all. Thanks.",NEGATE
I want to find a movie to watch. I want to watch a regular show.,INFORM
Can you search for movies shown in SF.,INFORM
Ash Is Purest White is perfect.,SELECT
"No, I don't want to purchase now. What time can I watch it?",INFORM_INTENT
I want to watch it on 2nd of March.,INFORM
No. Thank you for you help.,NEGATE
My husband and I want to watch a 3d movie. Where is the closest place?,INFORM
I'm in San Jose. Can you look around there?,INFORM
What time is Breakthrough? That sounds great!,INFORM_INTENT
"No, Sunday this week when we have a babysitter. We want the CineLux Almaden.",INFORM
Where is the theater? And what kind of movie is it?,REQUEST
Perfect!,SELECT
"No, I don't want to do it right now. That's all the info I wanted.",NEGATE_INTENT
I am looking for a movie to watch.,INFORM_INTENT
I would love to see a 3d show in Menlo Park.Can you help me find one?,INFORM
Red Joan sounds perfect for me.,SELECT
"No,not now.",NEGATE_INTENT
"It will be great to watch at Guild Theatre,tell me please at what time can I watch it.",INFORM
In 9th of this month it will be great for me.,INFORM
Where can I find the theater?,REQUEST
You can tell me please the cost of ticket and what type of movie is?,REQUEST
That is great .That was all that I needed for now.,SELECT
"I have got two day leave jointly , i wish to watch a move. Will you find a movie to watch?",INFORM_INTENT
I wish to watch a movies shown in Morgan Hill. So Find it in that place.,INFORM
"No, Not at all. Please search for other movies. Will you search for movies shown in Union City and I like to watch at Century Union Landing location.",INFORM
"No, Not interested . Find some other movies, will you find me 3d movies",INFORM
"Ok i got it ,Movie Pet Sematary is Perfect and it suits my taste.",SELECT
At what time i shall able to watch that movie? Whether i could able to watch it on 2nd of this month.,INFORM
"Ok , great. will you tell me the address of that theater?",REQUEST
What about its ticket cost?,REQUEST
"That's great , and thanks a lot",SELECT
Can you find me a 3D movie to watch?,INFORM
Please find me movies in Brentwood.,INFORM
What else do you have?,REQUEST_ALTS
I don't like those. Show me movies in Pleasant Hill.,INFORM
I'd like to watch Hotel Mumbai. What time is the show?,INFORM_INTENT
I'd like to see it on 2nd of March.,INFORM
What is the genre?,REQUEST
That sounds perfect. That's all I need for now.,SELECT
"I interested in watching a movie, can you give me a suggestion?",INFORM_INTENT
"I am in Antioch, can you search for nearby movies?",INFORM
"I am more interested in fantasy movies, can you give me movie recommendations for the AMC Deer Valley?",INFORM
"Hellboy would be perfect to watch, at what time is the showing?",INFORM_INTENT
I want to see the movie on the 4th of this month.,INFORM
"That sounds good, that is all I needed.",SELECT
Can you search a movie shown in Palo Alto? I want to watch a movie.,INFORM
Pillow Talk sounds good. What time is the movie?,INFORM
I am planning to watch a regular show on 5th of this month.,INFORM
"No, I am not ready to purchase the ticket now.",NEGATE_INTENT
No that is all i need.,NEGATE
Find a movie for me please.,INFORM_INTENT
I am looking for a movie in Alameda.,INFORM
Give me some more choices please Check the Alameda Theatre & Cineplex for an imax show.,INFORM
The Poseidon Adventure is exactly what I want. When does it start?,INFORM_INTENT
Next Friday would be perfect for me.,INFORM
What would you call that type of movie?,REQUEST
That sounds right thank you.,SELECT
Nothing I can think of and thank you again for your help.,NEGATE
I really want to watch a Fantasy movie. Is there anything available?,INFORM
I'm in Campbell. I'd like to go to Pruneyard Cinemas.,INFORM
Dumbo sounds good. When is it?,INFORM_INTENT
I want to watch the imax show next Friday.,INFORM
Are there any other showtimes?,REQUEST_ALTS
"No thanks, that's all.",NEGATE
Please help me find a movie to watch.,INFORM_INTENT
Please search for movies showing in Mill Valley.,INFORM
The Best of Enemies sounds great.,SELECT
"No, I'm not going to buy right away.",NEGATE_INTENT
Please find out the screening times for 3d shows.,INFORM
"Yes, I'd love to watch it later today.",INFORM
That works for me.,SELECT
No. You've been very helpful.,NEGATE
I am planning to catch a movie with my friend later. Can you recommend a 3d movie?,INFORM
I want to know what movies are showing in Emeryville. I am particularly interested in movies of the Thriller genre.,INFORM
"Yes, Pet Sematary sounds great!",SELECT
"No, I will buy the tickets later.",NEGATE_INTENT
I would like to catch the movie on 8th of March. Can you find me the screen times for this show on that date?,INFORM
That's perfect.,SELECT
No. I appreciate your help so far.,NEGATE
Can you find me a funny movie to watch?,INFORM_INTENT
Can you find me a 3d show at the Guild Theatre at Menlo Park?,INFORM
Red Joan will work. what times are avaliable for the 9th of this month.,INFORM
Thanks thats everything,SELECT
Can you tell me what movies are playing at Century Cinemas?,INFORM
In San Leandro. I'd like to watch the 3d show.,INFORM
Breakthrough sound great! I'd like to watch it on the 2nd. What time is it playing?,INFORM
Sounds good. I don't need anything else.,SELECT
I want to watch a movie at the theater.,INFORM_INTENT
Can you look for movies in Livermore?,INFORM
No thanks. I like adventure movies and I want to watch an Imax show.,INFORM
Shazam! sounds perfect!,SELECT
No thank you. What times is it showing?,INFORM_INTENT
2nd of March.,INFORM
How about Friday next week at Livermore Cinema?,INFORM
What is the price?,REQUEST
"Sounds good, that is all.",SELECT
I want to watch a 3d movice in Emeryville.,INFORM
I love to watch Pet Sematary.,SELECT
"No, I want to buy tickets later.",NEGATE_INTENT
I want to watch the movie on the 8th at AMC Bay Street.,INFORM
Where is the theater? What is this movie about?,REQUEST
That' s all.,SELECT
"Hi, I would like to search for movies currently shown at Albany Twin.",INFORM
I would prefer movies shown in Albany.,INFORM
Red Joan is great!,SELECT
"Not yet, what are the available time slots for this movie next Tuesday?",INFORM
That's great! How much does the ticket cost?,REQUEST
Nope! That's all the help I need.,NEGATE
Can you find me a movie to watch at Edwards Fairfield?,INFORM
Sure. Search any kind of movies in Fairfield.,INFORM
I'd particularly like a 3d movie.,INFORM
How to Train Your Dragon: The Hidden World sounds awesome!,SELECT
"No, not at this moment? At what time is it screening? I'd like to go on the 1st of this month.",INFORM
How much for a ticket?,REQUEST
"No, not at the moment. Thanks a lot!",NEGATE
Can you help me search for movies that are playing in Emeryville?,INFORM
"I like Comedy movies, can you please help me find one?",INFORM
Missing Link is perfect. What time would I be able to watch it? I would like to watch it on the 8th of this month.,INFORM
"Sounds good, thanks. That's all I need!",SELECT
I want to watch something in Imax in San Francisco,INFORM
I don't really like any of those. How about some Drama films? I want to watch it at United Artists Stonestown Twin.,INFORM
The Mustang sounds good. What are the times if I want to watch it Wednesday next week?,INFORM
Where's the theater located?,REQUEST
"Okay, sounds good. That's everything.",SELECT
I want to find a movie to watch. I like comic movies. I want to watch at Century Napa Valley.,INFORM
I want to watch a 3D show. Can you search for movies in Napa?,INFORM
Little is perfect.,SELECT
What time can I watch it?,INFORM_INTENT
I want to watch it on the 1st of March.,INFORM
I am interested in watching adventure movies in imax show.,INFORM
I want you to have a search for movies which are shown in walnut creek,INFORM
I feel Shazam is good for me and i want to watch it in Century Walnut Creek and what is the show time?,INFORM
I am interested in watching the movie on Monday next week.,INFORM
Sounds very good. That is all i want,SELECT
I think a movie will relax me. can you help?,INFORM_INTENT
I want to watch in San Ramon,INFORM
No. please look for any other.,REQUEST_ALTS
I choose Missing Link.,SELECT
Not needed. Showtime please.,INFORM_INTENT
On 2nd of this month.,INFORM
"What is the ticket charge, where is it located?",REQUEST
Great. It will do.,SELECT
I would like to find a movie.,INFORM_INTENT
Can you search for movies in San Jose.,INFORM
Please find other movies.,REQUEST_ALTS
I want to watch 3 Below Theaters and lounge.,INFORM
Mary Magdalene is good I would like to watch it this Saturday a imax show.,INFORM
Yes that is good information.,SELECT
"No, I will purchase later thank you.",NEGATE_INTENT
Check what's playing in Union City please.,INFORM
Captain Marvel it is that's just the kind of movie I was looking to see.,SELECT
"No, I'll hold off that for now.",NEGATE_INTENT
What are the showtimes?,INFORM_INTENT
I wanted to go to the movies next Thursday.,INFORM
That would be great.,SELECT
Thanks for your help but I don't think I'll be needing anything else today.,NEGATE
I want to go out to a movie.,INFORM_INTENT
Look for movies in San Jose.,INFORM
"None of those sound good, what else is there?",REQUEST_ALTS
"No, can you find an imax show in Concord?",INFORM
Shazam! works just fine.,SELECT
What time is the movie?,INFORM_INTENT
I want to see it on Wednesday next week.,INFORM
Nope! I'm good!,NEGATE
I'm looking for something to do with my evening. What movies are showing in San Jose?,INFORM
Is there anything else?,REQUEST_ALTS
"Nah, none of those.",REQUEST_ALTS
How to Train Your Dragon: The Hidden World sounds good.,SELECT
"No, not now.",NEGATE_INTENT
What time is the movie showing?,INFORM_INTENT
I'm thinking today at the AMC Eastridge.,INFORM
How about another time?,REQUEST_ALTS
No. Thanks anyways.,NEGATE
I want to watch a movie in Union City.,INFORM
I want to watch a Scary movie in imax.,INFORM
The Curse of La Llorona is perfect.,SELECT
"No, I'm not ready.",NEGATE_INTENT
What time is the movie playing?,INFORM_INTENT
I want to see it on March 7th.,INFORM
How much is the ticket? What is the address?,REQUEST
"That is all, thanks.",SELECT
I want to watch a movie that's been shown in Fairfield.,INFORM
What are my other choices?,REQUEST_ALTS
I want to Watch How to Train Your Dragon: The Hidden World.,SELECT
No.I'll buy tickets later. Can you find a 3d show?,INFORM
The 1st of this month.,INFORM
Great. Thanks for the information.,SELECT
I'm interested in finding a good movie to watch.,INFORM_INTENT
"San Jose, so search for movies there.",INFORM
"Actually, Breakthrough sounds great. I want to see it on the 3rd so what times is it playing then?",INFORM
What's the theater's address?,REQUEST
"Okay, sounds fine. That's all I the help I need.",SELECT
Can you find me a movie? I'm in the mood for action,INFORM
In Oakland please,INFORM
"Yeah, The Last Dragon sounds great",SELECT
"No thanks, I think I'll buy them later",NEGATE_INTENT
Can you let me know what time its on?,INFORM_INTENT
The day after tomorrow please,INFORM
"Cool. Thanks, I don't need anything else",SELECT
I want to watch a Rom-com movie.,INFORM
I am looking for a movie in Santa Rosa.,INFORM
After sounds like a good movie.,SELECT
Not at this time.,NEGATE_INTENT
When is the movie?,INFORM_INTENT
I want to go on the 1st.,INFORM
I'm looking for a movie in Santa Rosa.,INFORM
Anything else?,REQUEST_ALTS
No. What's showing at Summerfield Cinemas?,INFORM
Wild Nights with Emily sounds good.,SELECT
No. what time is it showing?,INFORM_INTENT
I'm looking for an imax show this Saturday.,INFORM
Any other times?,REQUEST_ALTS
I wanna go to the cinema.,INFORM_INTENT
I'm in Oakland.,INFORM
"Could you find some other movies, please?",REQUEST_ALTS
Shazam! sounds perfect.,SELECT
"Nope, not right now.",NEGATE_INTENT
What time can I watch the movie?,INFORM_INTENT
I wanna watch it on 1st of this month.,INFORM
What kind of movie is it?,REQUEST
Nope. Thanks for your help.,NEGATE
I want to see a movie.,INFORM_INTENT
I want to see it at Century Union Landing. What movies are playing in Union City?,INFORM
No. What else is playing?,REQUEST_ALTS
No I'm not interested in those. Are any other movies playing?,REQUEST_ALTS
I want to see Pet Sematary!,SELECT
"No, not now. When is it showing?",INFORM_INTENT
I'd like to see it on Saturday this week.,INFORM
I want the see the 3d version on the 1st of this month. Is it showing then?,INFORM
How much does a ticket cost?,REQUEST
Great!,SELECT
I want to watch a movie at AMC Bay Street,INFORM
"Searc in Emeryville, please",INFORM
Do you have any other suggestions?,REQUEST_ALTS
I would prefer other proposals,REQUEST_ALTS
"Oh, Teen Spirit is good!",SELECT
"Not now, thanks",NEGATE_INTENT
"Yes, I want to watch a imax show: what time is it?",INFORM
On later today,INFORM
"Oh, It's perfect!",SELECT
"No, thanks, It's all",NEGATE
I think that I want to find a movie to watch at Roxie Theater.,INFORM
Does SF have any movies showing?,INFORM
I think we should do Suburban Birds. I think I want something regular on the 17th. Do you have any times?,INFORM
Works for me!,SELECT
I think we should wait to purchase them.,NEGATE_INTENT
I think this will do it. Thank you for your help.,NEGATE
Can you look for movies in SF.,INFORM
"Can you please look for some other movies, I'd like to see an imax show.",INFORM
Can you find some other movies I'd like to go see them at the Embarcadero Center Cinema. Any kind of movie will do.,INFORM
Knock Down The House sounds great to me.,SELECT
"Not at the moment, no.",NEGATE_INTENT
"Oh yeah, what time is the movie? I'd like to watch it on the 8th?",INFORM
"Awesome, thats all I needed to know.",SELECT
I like Ghost movies. Search for movies in San Jose.,INFORM
The Curse of La Llorona is about perfect!,SELECT
"No, I don't need them.",NEGATE_INTENT
I want to see it Tuesday next week,INFORM
"Great, That's all I need",SELECT
"Can you tell me which movies are playing at Lark Theater, please. I'd like to find a good one to watch.",INFORM
Search for movies in Larkspur.,INFORM
Shine a light sounds perfect. When is it screening? Any show type is OK.,INFORM
"I'd like the 1st of March, if possible.",INFORM
That's perfect. That will be all?,SELECT
I have not gone to see a movie in a while. I would like to go see one. Can you tell me what is playing?,INFORM_INTENT
I would like to see a movie in San Ramon.,INFORM
"I am more in to adventure movies. Could you look for some different movies. Also, I would like to watch at THE LOT City Center.",INFORM
Shazam! would be great.,SELECT
"No, I don't think so right now.",NEGATE_INTENT
"I would like to watch the regular showing next Monday. What time do they have available, then?",INFORM
Are there any other show times available?,REQUEST_ALTS
"No, not right now. Thanks so much for your help.",NEGATE
I am trying to find an interesting movie to watch later.,INFORM_INTENT
I would like to see a thriller movie located in Brentwood.,INFORM
Oh i think Pet Sematary may be a great movie to watch,SELECT
Not this second no,NEGATE_INTENT
What are the show times at AMC Brentwood?,INFORM
Definitely on March 5th. Is it available,INFORM
what is the cost of the tickets and what is the address,REQUEST
great,SELECT
Nope. but thanks for your help,NEGATE
"Hey there, I want to see a movie.",INFORM_INTENT
Can you show me movies in San Jose.,INFORM
No they don't sound like my cup of tea. What about a 3d film.,INFORM
Little sounds good. What time is it showing?,INFORM_INTENT
I want to go next Friday.,INFORM
How much is that?,REQUEST
"Sounds perfect, that's all I wanted.",SELECT
My husband and I are going out tonight and would like to know of a good movie to watch.,INFORM_INTENT
Would you look for theaters around Emeryville? That's where we're eating.,INFORM
"I'd like to see something at the AMC Bay Street. Preferably a comic book-type movie. If you can find one of those, that would be great!",INFORM
We'd love to see Missing Link. What are the showtimes?,INFORM_INTENT
I forgot. I wanted to see it on Imax and March 8th would be the date.,INFORM
That's great.,SELECT
I'm not going to buy them right now.,NEGATE_INTENT
Thank you but no. I'm good.,NEGATE
Please find me a movie to watch.,INFORM_INTENT
Please search for movies in downtown San Fran.,INFORM
Please search for other movies to see in downtown San Fran.,REQUEST_ALTS
Please search for even more movies.,REQUEST_ALTS
I would like to see Family.,SELECT
I want to know when I can go see that movies. What are the regular show times?,INFORM
I would like to see this movie on the 2nd.,INFORM
I would like to see that showing.,SELECT
"No thank you, I do not require further help.",NEGATE_INTENT
"Hey, I'm looking for a movie.",INFORM_INTENT
Can you tell me what's on in San Francisco.,INFORM
Find something else.,REQUEST_ALTS
Gloria Bell sounds like it's right up my street.,SELECT
"No, that's okay, not right now.",NEGATE_INTENT
What time is it playing on 3rd of March.,INFORM
Sounds great. That's everything.,SELECT
I want to find an imax movie to watch later tonight.,INFORM
I am located near Hillsborough.,INFORM
That would be great. What time would I be able to watch The Curse of La Llorona?,INFORM_INTENT
I'd like to try and watch it on the 1st of March.,INFORM
Awesome. Thank you for your help.,SELECT
San Jose. I want to watch a regular show.,INFORM
"No, something else please.",REQUEST_ALTS
"No, something else, in 3D, please.",INFORM
Breakthrough sounds good. What are the show times?,INFORM_INTENT
On the 3rd.,INFORM
Thanks. That's all I need.,SELECT
I like Life history movies and want to find a movie to watch. I would like to watch Century at Hayward.,INFORM
Please find movies in Hayward.,INFORM
Breakthrough sounds great. What time is it available to watch? I am interested in a regular show.,INFORM
I want to see it on the 7th.,INFORM
How much does the ticket cost?,REQUEST
That sounds fine. That does it for me.,SELECT
I would like to watch a 3d movie.,INFORM
I would like movies in Petaluma.,INFORM
No not at present. What time is it on? I am interested in showing on the 4th at Boulevard Cinema.,INFORM
Do you know the address of the theater?,REQUEST
How much do tickets cost?,REQUEST
That all sounds good.,SELECT
No that is everything thanks.,NEGATE
Can you help me find a good movie please?,INFORM_INTENT
I would like hear about movies being played in Brentwood.,INFORM
I would like to see Dumbo!,SELECT
"No not right now, can I have the show times and can you look for the movie in 3d?",INFORM
I would like to watch a imax show on the 2nd of this month.,INFORM
Can I have the price of the ticket and the address to the theater?,REQUEST
I feel like being spooked out. Can you help me find some scary movies?,INFORM
Please look for movies showing in Campbell.,INFORM
The Curse of La Llorona works good for me. What time is it showing? I'd like to go on the 9th.,INFORM
"That's perfect, that's all I needed.",SELECT
I want to find a comedy movie. Search for movies now showing in Oakland.,INFORM
Let's try something else. I want a regular show. Something like a Biographical movie.,INFORM
Breakthrough is great.,SELECT
"No, not right now. What time does it play? I also want to watch Regal Jack London next Friday.",INFORM
What is the theater address?,REQUEST
"Great, that's all I need.",SELECT
"I want to watch a movie, can you search for movies shown in San Jose.",INFORM
"No thanks, can you find some others.",REQUEST_ALTS
Dogman is great thanks.,SELECT
"No, not at the moment. What time is it on?",INFORM_INTENT
"I want to go on the 11th, at 3 Below Theaters And Lounge.",INFORM
Sounds great thanks.,SELECT
No thanks.,NEGATE
Can you find for movies shown in Santa Clara.,INFORM
The movie Hotel Mumbai is good.,SELECT
"No, i don't want to buy now and what time can i see it?",INFORM_INTENT
I like to watch imax show on 1st of March.,INFORM
What is the theater location?,REQUEST
What type of the movie and what is the ticket cost?,REQUEST
It's cool. That is all i want.,SELECT
I wanna go to the cinema. I don't mind the theatre.,INFORM
Can you search movies in San Francisco?,INFORM
Dumbo is perfect. What time can I watch it? I'd like to watch it on March 3rd.,INFORM
"Nope, I don't wanna purchase now.",NEGATE_INTENT
"Nope, thanks a lot!",NEGATE
Can you search for movies showing in Pleasant Hill?,INFORM
I would like to see After. Any type of show is fine. What times is it showing?,INFORM
I'd like to see it on the 1st of this month.,INFORM
"No, I don't want to purchase them now.",NEGATE_INTENT
No. Thanks for your help today.,NEGATE
Find me some good movies to watch.,INFORM_INTENT
Search for Fantasy movies in San Jose.,INFORM
"Okay, Dumbo sounds great.",SELECT
"No, I don't want to buy the ticket right now. Can you find me the timing of the movie on March 1st at Cinemark?",INFORM
"Okay, That sounds great.",SELECT
No. That will be all. Thank you.,NEGATE
What are some movies playing in Emeryville right now?,INFORM
"Family sounds good, what are the times?",INFORM_INTENT
On the 4th of this month.,INFORM
How much per ticket?,REQUEST
What type of movie is it?,REQUEST
"Okay, that works.",SELECT
"No, not now. That's it.",NEGATE_INTENT
Give me a 3d show.,INFORM
I am in Petaluma.,INFORM
Give me The Curse of La Llorona please.,SELECT
"Um, not now.",NEGATE_INTENT
What times are available on the 2nd of this month at Boulevard Cinema.,INFORM
"Sound good, thanks.",SELECT
"Hey, can you help me find a movie to watch?",INFORM_INTENT
I'm in San Francisco. Try searching for movies shown there.,INFORM
Can you find some other movies? I want to watch one at an imax show in the AMC Metreon nearby.,INFORM
I would love to see Missing Link!,SELECT
"No, I don't want to right now.",NEGATE_INTENT
Yes. What are the available times for the movie?,INFORM_INTENT
March 2nd would be nice.,INFORM
No. Thanks for your help!,NEGATE
I want a recommendation on a movie to watch.,INFORM_INTENT
"I am in San Francisco, can you search for movies in this city?",INFORM
"Can you give me more movie recommendations, I want to see an IMAX show and I do like seeing comic movies.",INFORM
Missing Link sounds perfect.,SELECT
"At what time can I watch the movie, if I plan on seeing it on the 1st of this month?",INFORM
"I think I am not ready to purchase tickets, so no.",NEGATE_INTENT
